lesson,content
301,Karel projel městem a dostal se do Kolína. Věra si koupila pěknou sukni pro Zdenu. Sněhem se pokryly kopce nad městem. Milan měl hodně starostí s vedením oddílu. Na louce voněly kopretiny.
302,Pan Pěnkava měl dva měsíce syna na vojně v Prostějově. K hlavnímu stanu vyvěsily na letním srazu vlajku svojí země oddíly ze SRN. Od sjezdu se udělalo hodně pro modernizaci v zemědělství.
303,Hynek odjel do Jihlavy na celou neděli. Věra seděla na lavici a popisovala krajinu kolem potoka. Děti si na louce stavěly domek z listí. Milan se dostal do města pozdě. Svítilo slunce nad lesy.
304,Kamil nastoupil do vlaku směrem na Kolín. Děti na venkově chodily k potoku. Helena měla na starost uklidění kuchyni. Vojtěch vysvětlil spolku celou cestu do Prostějova. Louky voněly květinami.
305,Zajímali se o procento zastavění plochy ve městě a na venkově. Ve spěchu vypracovali mylně projekt ozelenění okolních ploch. Měla toho opravdu na svědomí hodně. Pozorovali zatmění Měsíce.
306,Děti se vydaly na pochod lesem ke Kolínu. Jitka namalovala pěknou krajinu u potoka. Sněhu napadlo jen trochu v noci. Vojtěch zasedal v místnosti celou hodinu. Na louce kvetly kopretiny do května.
307,Slavomír projel celou Moravu a dorazil do Prostějova. Hedvika uklidila celou kuchyni a umyla podlahu. Děti se na louce radovaly ze slunce. Karel dostal od Věry dopis v pondělí. Podnik prosperoval.
308,Matěj se stěhoval do domu na kraji města. Lucie chodila na louky a nosila domov kvítí. V Kolíně se konaly slavnosti koncem května. Slavomír splnil svou povinnost a odeslal dopisy do oddělení.
309,Helena cestovala po Slovensku a viděla Děvín. Milan seděl u potoka a poslouchal lesní zvuky. Děti lezly na kopec. Květoslav napsal dopisy do Jihlavy. Na louce rostlo kvítí. Svítilo pěkně slunce.
310,Dalimír povídal o cestě po Holandsku. Irena si koupila novou sukni. Městem projelo hodně vozidel. V lese u potoka seděly děti a zpívaly. Měli jsme pěknou neděli na venkově. Kvetly kopretiny kolem.
311,Koncem měsíce května se odstěhovali z venkova do okresního města. Na skladě měl jenom devět posledních těsnění tohoto rozměru. Věra se uměla pěkně upravit. Městem pochodovali nezaměstnaní.
312,Lenka dopsala velkou studii o historii Terezína. Karel a Věra se vydali na pochod do kopce. Na louce kolem Jihlavy kvetly kopretiny. Vojtěch měl v pondělí hodně povinností. Jitka zasedala v oddělení.
313,Svatopluk viděl v lese jelena a sledoval ho. Zdena prodala zeleninu na trhu v Kolíně. Milan měl na starost oddělení v podniku. Děti chodily do města cestou kolem louky. Eva uvítala hosty s pozdravem.
314,Valdemar se dostal na velkou slavnost v Prostějově. Petra chodila po městě a kupovala ovoce. Miroslav napsal celou studii o zemědělství na Moravě. Děti stavěly ze sněhu velkou pevnost na dvorku.
315,Aneta měla pěknou zahradu kolem domu na venkově. Kamil projel městem a jel k severu. V neděli se konala oslava v divadle. Děti na louce vylezly na kopec. Slovensko je pěknou zemí. Oddíl se vydal.
316,Plnění ukazatele sortimentu věnoval revizor Pěnkava velkou pozornost. Rozdělili se opět na dvě skupiny. Pan Kroupa nastoupil v srpnu do Stavoservisu. Letadlo proletělo opět velice těsně nad tou lodí.
317,Květa namalovala celou krajinu u potoka za jedno odpoledne. Hynek odjel vlakem do Jihlavy. Na polích se zelenalo zelí. Matylda měla na starost vedení domu. Děti se radovaly z prvního slunce na louce.
318,Pavel posílal dopisy do Kolína v pondělí. Alice chodila na louky a nosila domov kvítí. Městem projely vozy směrem na sever. Zdeněk vysvětloval dětem historii Moravy. Sníh pokryl kopce nad městem.
319,Jan cestoval po Slovensku a dostal se na Děvín. Drahomíra měla na starost velkou povinnost domu. Děti chodily lesem k potoku. V květnu kvetou kopretiny na louce. Oddíl nastoupil v pondělí do města.
320,Miroslav lezl na kopec nad městem a viděl celou krajinu. Věra uklidila celou kuchyni. Karel dopsal studii o dějiny Kolína. V lese zněl zpěv. Na venkově se vedlo lidem pěkně. Měli jsme pěknou neděli.
321,Dana si koupila novou sukni pro slavnost v divadle. Vojtěch projel celou Moravu. Děti si na dvorku stavěly domky ze sněhu. Les voněl kolem. Milan zasedal v oddělení od pondělí do konce května.
322,Ten spor trval asi rok. Jirka a Vojta Srpovi narukovali na vojnu. Věra chtěla v Praze studovat dějiny umění. Lektor nepovolil ani jeden den volna. Odměny se měly proplatit nejpozději v květnu.
323,Helena odjela do Jihlavy na celou neděli. Svatopluk nasedl do vlaku a jel na Moravu. Louky kolem potoka kvetly směsí kvítí. Děti si na louce stavěly domek. Milan napsal celou studii. Svítilo slunce.
324,Kamil vysvětloval dětem povinnosti na pochodu. Květa seděla na lavici v parku a namalovala kopretiny. Pracovníci města měli hodně starostí. Les za městem voněl po listovím. Zdena uvítala hosty v neděli.
325,Slavomír se vydal na cestu do Prostějova. Irena měla na starost oddělení v podniku. Děti na venkově chodily k potoku a zpívaly. Sněhu napadlo jen trochu. Vojtěch splnil svou povinnost do konce května.
326,Dalimír popisoval svou cestu po Holandsku. Lenka si koupila pěknou sukni. Na polích kolem Kolína se zelenalo zelí. Městem proudily davy lidí. Děti vylezly na kopec. Kvetly kopretiny na louky.
327,Podnik loni neprosperoval. Jan nakreslil pastelkou velikou kopretinu. Korespondentka napsala konspekt proslovu. Toto jste provedli opravdu dokonale. Jana doprovodila Karla na Prosek.
328,Matěj se dostal do Jihlavy koncem května. Hedvika chodila po louky a nosila domov kvítí. Karel napsal studii o historii Terezína. V městě se konaly slavnosti. Děti měly den volna v neděli. Oddíl jednal.
329,Eva cestovala po Moravě celou dovolenou. Slavomír seděl u potoka a poslouchal lesní zvuky. Městem projelo mnoho vozidel. Petra uklidila celou kuchyni. Květoslav dostal dopis od Zdeny v pondělí.
330,Zdeněk povídal o Slovensku. Jitka měla na starost vedení oddělení. Děti si na louce stavěly domek. V Kolíně kvetly kopretiny. Valdemar projel městem směrem na jih a dostal se do Prostějova. Svítilo slunce.
331,Hynek odjel do Prostějova na velkou slavnost. Aneta vypěstovala zelí na svoji zahradu. Milan popisoval krajinu kolem Děvína. V lese vonělo listovím. Děti se radovaly ze slunce. Oddíl pochodoval městem.
332,Květa namalovala kopretiny na louce u potoka. Miroslav zasedal v oddělení v pondělí. Drahomíra si koupila novou sukni. Děti chodily lesem do města. Na Moravě se vedlo zemědělství velmi pěkně. Kvetl les.
333,Na zahradě za městem vypěstovali mladí zahradníci kvalitní zelí. Podle mínění Zdeny toto vysvětlení nevyhovuje. Děti se opět mohly radovat z prvního sněhu. Venku se udělalo docela pěkně.
334,Pavel posílal dopisy do Jihlavy v neděli. Alice seděla v parku a namalovala krajinu. V městě se konala slavnost. Karel vysvětlil dětem historii Kolína. Na louky rostlo kvítí celou sezonu do května.
335,Vojtěch projel celou Moravu a jel do Prostějova. Dana měla na starost uklidění domu. Děti na venkově chodily k potoku. Sněhu napadlo jen trochu v noci. Milan splnil svou povinnost do konce května.
336,Matylda odjela do Kolína na velkou oslavu. Kamil seděl u potoka a naslouchal zpěvu v lese. V lese za městem vonělo listovím. Lenka zasedala v oddělení. Děti si stavěly ze sněhu velkou pevnost na dvorku.
337,Svatopluk viděl v lese jelena u potoka. Helena prodala zeleninu na trhu. Městem proudily davy lidí směrem k divadlu. Květoslav měl hodně starostí. Děti se vydaly na pochod do kopce. Kvetly kopretiny.
338,Ty pěnkavy odletěly někam směrem k Děvínu. Po pěti letech studia uměla mluvit plynně německy. Matěj Pětník cestuje někde po světě. Věra slavila v neděli na chalupě narozeniny. Děti měly odjet na hory.
339,Irena cestovala po Holandsku celou dovolenou. Dalimír napsal studii o zemědělství na Moravě. Děti chodily na louky za městem. Zdena uklidila celou kuchyni. V Prostějově se konaly slavnosti v květnu.
340,Slavomír se dostal na slavnost do Jihlavy koncem května. Petra chodila po městě a kupovala ovoce. Karel popisoval krajinu u Terezína. Na louce kvetly kopretiny. Děti zpívaly u potoka do poledne.
341,Hynek vysvětloval spolku pochod na Moravu. Eva si koupila pěknou sukni pro slavnost. Městem projely vozy směrem na sever. Les voněl kolem cesty. Slavomír měl na starost vedení oddílu v podniku.
342,Květa seděla na lavici a popisovala cestu po Slovensku. Zdeněk odjel vlakem do Kolína. Na polích se zelenalo zelí. Děti vylezly na kopec nad vsí. Jitka měla hodně starostí. Svítilo slunce v pondělí.
343,Jan nasedl do vlaku a jel do Prostějova. Hedvika namalovala pěknou krajinu kolem potoka. Děti si stavěly domek na dvorku. Miroslav splnil svou povinnost. Na louky rostlo kvítí. Podnik jednal v květnu.
