lesson,content
51,Lada jela do lesa. Sokol odjel od koleje. Ela dal olej. Jokl sekal deska. Klos a Olda jela. Eda osel kolo. Lea klesla.
52,Eska doleje olej do koleje. Sojka jela do lesa a Olda sekal. Lada odjede. Jokl klesla a dosedla. Sokol dale dal kolo Lea.
53,Sokol a Lada odjede do Jasla. Klos sekal deska. Jokl dal olej Olda. Sojka jela od koleje. Lea klesla. Eda dojela. Eska osel.
54,Sklad dodal kolesa a olej. Lada jela do lesa. Sokol odjede od koleje. Ela sekal deska. Olda dosedla. Jokl a Klos dale kolo.
55,Jos. Lada. Doleje jed. Kokos. Dojalo se. Sloka. Sojka dojedl. Doklad. Jedla. Sejde. SOS. Osedlala.
56,Olda odjel do lesa. Sokol a Lada sekal deska. Ela dal kolo Jokl. Eska doleje. Klos jela od koleje. Eda dojela a dosedla.
57,Lada a Sojka jela do Jasla. Sokol odjede od koleje. Jokl sekal deska. Olda klesla. Klos dal olej Eska. Lea dosedla. Eda osel.
58,Sklad dodal olej a kolo. Lada jela do lesa. Ela odjede. Sokol sekal. Jokl a Olda doleje. Eska klesla. Eda dosedla. Lea dale.
59,Sokol odjel do Jasla. Sojka a Lada jela od koleje. Klos sekal deska. Olda dal olej. Jokl klesla a dosedla. Eska dale kolo Lea.
60,Dolej jed. Kokos. Sloka. Sojka. Doklad. Jedle. Sejde. SOS. Osedlal. Dojedl. Sokol. Klekl. Odlesk. Jaslo. Odjelo.
61,Lada jela do lesa a Sokol odjede od koleje. Jokl sekal deska. Olda dal olej. Ela a Klos dale kolo. Eska dosedla. Eda klesla.
62,Sojka a Lea jela do Jasla. Lada odjede od koleje. Sokol sekal. Olda doleje olej. Jokl klesla a dosedla. Klos dale kolo Eska.
63,Eska dale odjede. Lada a Sokol jela do lesa. Jokl sekal deska. Klos klesla. Olda a Eda dal olej. Lea dosedla. Sojka dojela.
64,Sklad dodal deska a kolesa. Sokol odjede do Jasla. Lada jela od koleje. Olda sekal. Jokl dale kolo. Eska doleje olej a dosedla.
65,Jos. Lada. Kolos ale odjel. Selka jedla keks. Sokol odjede ... Sklad dodal do koleje olej a koleso.
66,Jan na les. Dana a den. Lenka nad koleje. Jelen a lanek. Seno do lesa. Neon. Jan a Dana na kole. Jeden den. Nad les.
67,Jana odjela na kole. Lenka nedala seno. Dana nenajde jelena. Jan dnes odjel. Jeden den je na koleno. Sokol nad les.
68,Jana dnes odjela na kole do lesa. Dana nedala seno a Lenka nejedla. Jan je nad koleje. Jelen se nenajde. Neon leskne nad lesa.
69,Lenka a Dana odjela na kole. Jana nedala seno do lesa. Jan dnes nejedl. Sojka nad les klesne. Jelen se nenajde. Jeden den na seno.
70,Jana odjela na kole do Kladna. A Dana dnes jelena nenajde. Lososa Lenka nejedla. Na jeden den seno do lesa nedala.
71,Dana odjela na kole a Jana nedala seno do lesa. Lenka nejedla. Jan dnes nenajde jelena. Sokol klesne nad les. Jeden den a neon.
72,Jana a Lenka odjela na kole do lesa. Dana nedala seno. Jan dnes nejedl. Jelen se nad koleje nenajde. Sokol klesne. Kladna leskne.
73,Lenka dnes odjela na kole. Jana nedala seno do lesa a Dana nejedla. Jan nenajde jelena nad les. Jeden den je na koleno. Sokol.
74,Dana dnes jela na kole do Kladna. Jana nedala seno a Lenka nenajde jelena. Jan nejedl. Sokol klesne nad les. Jeden den na koleno.
75,Sklad dodnes lana a kolena nedodal. Sokol se ale snesl nad les. Ona se nedala. Jana se lekla jelena.
