lesson,content
351,Karel právě dostal zásilku z Kolína. Správce města podával zprávu o stavu silnic. Plán na opravu dálnice se protáhl do května. Dana si koupila novou vázu na trhu. Posádka v kasárnách stále pilně pracovala.
352,Miroslav měl na starosti celou správu dodávek másla. Jednání o návrhu plánu trvalo od pátku. Správkárna aut v Klánovicích zahájila provoz. Zásilka materiálu dorazila právě dnes. Stále hledáme nová místa.
353,Květoslav dal Daně zprávu o stavu materiálu. Správní oddělení města jednalo celou hodinu. Posádka se pustila do opravy silnice. Jednání o plánu stále trvalo. Krásnou vázu si Věra koupila na trhu v Kolíně.
354,Plán na opravu dálnice do Prostějova se protáhl. Máme stále málo materiálu na splnění plánu. Správce Kamil právě podával zprávu. Helena si koupila salát na trhu. Jednání o dodávkách trvalo od pátku do pondělí.
355,V květnu poněkud vázly dodávky másla. Dělám tu intenzívně od pátku. Dosud od vás postrádáme návrh rozpisu plánu na III. a IV. kvartál. Věcnou kritiku vítáme. Hospodárnost musíme sledovat stále více.
356,Hynek právě dodělal práci na opravě silnice. Zásilka z Kolína dorazila v pondělí ráno. Dana koupila krásnou vázu a salát na trhu v městě. Stále více usilujeme o splnění plánu. Správce podával celou zprávu.
357,Dalimír měl na starosti správu dodávek do města. Kasárna se opravovala od května. Správní oddělení právě jednalo o plánu. Celá posádka stála na dvorku. Zásilka materiálu stále vázla. Květa koupila máslo.
358,Věra právě dostala zprávu od Karla z Prostějova. Plán na opravu dálnice se protáhl do května. Správce dal návrh na modernizaci města. Celá rodina sledovala seriál v pondělí. Máme stále dost práce.
359,Jednání o zásilkách materiálu trvalo celou hodinu. Správkárna aut právě zahájila provoz v Kolíně. Karel měl na starosti dodávky másla a salátu. Posádka v kasárnách pilně pracovala. Dana si koupila krásnou vázu.
360,Správce města právě podával rozsáhlou zprávu o opravách. Plán na dálnici do Prostějova se stále protahoval. Helena koupila na trhu salát a máslo. Milan měl na starosti celou správu oddělení. Stále rostla práce.
361,Mladá paní Eva Nová je nesmírně zvědavá dáma. Paní Válková se chtěla trochu podívat po městě. Hodně se věnoval pěstování salátu. Získal zaměstnání ve stáji v jízdárně. Několikrát se ztratila celá zásilka.
362,Karel dal Daně právě novou zprávu o dodávkách. Správní oddělení města jednalo v pondělí. Posádka se pustila do práce v kasárnách od pátku. Zásilka materiálu stále vázla. Krásnou vázu Věra koupila na trhu.
363,Miroslav měl na starosti plán opravy silnic v Kolíně. Jednání o návrhu se protáhlo do května. Helena koupila na trhu celou zásilku salátu. Správce právě podával zprávu o stavu dodávek. Stále více pracovali.
364,Hynek a Karel právě dodělali opravu silnice do města. Celá posádka se pustila do práce v kasárnách. Zásilka z Prostějova dorazila v pondělí. Dana koupila krásnou vázu na trhu. Správa oddělení rostla stále.
365,Plán na dálnici se stále protahoval od května. Správkárna aut v Klánovicích zahájila novou práci. Květoslav podával zprávu o dodávkách. Milan měl na starosti celou správu. Helena si koupila máslo a salát na trhu.
366,Zástupce OSN zastával poněkud jinou taktiku. V Klánovicích zahájila práci nová správkárna aut. Radek Sádek právě odchází z továrny. Celá posádka se v kasárnách pustila do práce. Jednání se protáhlo do pátku.
367,Správce dal Daně celou zásilku materiálu v pondělí. Karel měl na starosti jednání o plánu oprav. Posádka stále pracovala v kasárnách. Helena si koupila krásnou vázu na trhu v Kolíně. Dodávky másla rostly.
368,Dalimír právě dodělal opravu dálnice do Prostějova. Zásilka materiálu dorazila v květnu. Správní oddělení jednalo o návrhu plánu oprav. Celá rodina sledovala seriál. Věra koupila salát a máslo na trhu v městě.
369,Kamil měl na starosti správu dodávek do Kolína. Jednání se protáhlo do pátku. Správkárna aut právě zahájila práci od května. Karel podával zprávu o stavu silnic. Posádka se pustila do opravy. Dana si koupila vázu.
370,Plán na opravu města se stále protahoval. Helena právě dostala zprávu od Věry z Prostějova. Správce měl na starosti celou správu dodávek. Kasárna se opravovala od května do pátku. Zásilka salátu dorazila ráno.
