lesson,content
401,Jan si dnes dal k obědu chleba se salámem a cibulí. Práci na opravě silnic v obci zvládla celá posádka brzy. Helena se pustila do stavby od jara. Slavomír psal dopis do Kolína. Zásilka dorazila v pátek.
402,Tady by nás mohla zachránit jedině snad nějaká dobrá víla. Brodil se po kotníky blátem. Bohumír dnes měl velice dobrou náladu. Byli si vzájemně dost podobní. Bojová jednotka ubránila oba objekty za obcí.
403,Miroslav pracoval na stavbě celou sobotu. Bětka si koupila na trhu housku s máslem. Hynek odcházel z továrny k obědu. Dana se pustila na louku sbírat houby. Správce města podával zprávu o dodávkách materiálu.
404,Pavel pobíhal po dvorku a sbíral listí do kotle. Bára dostala dopis od Heleny z Kolína. Lucie měla na starost domácnost od jara. Karel se pustil do opravy budovy hned v pondělí odpoledne. Stavba v obci stále rostla.
405,Pracovníci vedení Bytostavu probírali bilanci stavebních hmot. O správnosti tohoto tvrzení lze mít pochybnosti. Bára nebyla stále spokojena s vybavením bytu. Do jídla ho pobízet nikdy nemuseli.
406,Milan podával zprávu o dodávce do skladu v pondělí. Eva zpívala ve sboru a bavila se u toho. Věra si koupila knihu v obchodě na náměstí. Celá budova měla brzy dostat novou opravu. Jednání se jim protáhlo do pátku.
407,Odbory se v tomto sporu postavily jasně na stranu dělníka Bláhy. Hubert bleskově snědl obě koblihy a odběhl si hrát do parku. Pracovníci si pozvali do síně kultury stavbyvedoucího i náměstka.
408,Dana si vzala na starost opravy v domě od května. Slavomír pobíhal po dvorku a kontroloval práci. Celá posádka se pustila do boje hned od rána. Měli málo hodin. Jednání o plánu se jim protáhlo v pondělí.
409,Zdena dostala od Kamila dopis s pozdravem z Kolína. Hynek se pustil do práce hned v pondělí. Bětka si koupila housku a máslo na trhu u náměstí. Celá stavba se protáhla do pozdního jara. Lucie si zpívala.
410,V obci Kobylí na Moravě si pan Lupták objednal víno. V dubnu se zasnoubili. Moskevský rozhlas vysílá zprávy o nových objevech ve výzkumu vesmíru. Oba rebelanti byli tentokrát na místě potrestáni.
