lesson,content
151,Pavla se posadila v lese. Kluk ale odklusal k potoku. Pavel opustil Lounsko. Lidunka si koupila novou taktovku.
152,Julius ustoupil od okna. Vendula si koupila novou sukni. Ten kluk se posadil na louku. Lidunka opustila podnik v lednu.
153,Na potoku je soudek s vodou. Pavel odjel do Lounek. Ivana si ukousla sousto. Kupovali to jen kluk a Vendula.
154,Osekali jen opuku. V lednu je odsoudil. Spoutali ji. Ukousla si jen sousto a odjela. Podejte i tu kliku.
155,Vendula koupila v podniku novou taktovku. Kluk ustoupil a Julius se posadil na louku. Pavla opustila ten les.
156,Julius si odkoupil louku v Lounsku. Pavel a Lidunka se posadili u potoku. Kluk pojedl sousto. Vendula ustoupila od okna.
157,V podniku uloupili kasu a utekli. V dole nastavovali kovovou stojku. Pavel Kalousek studoval v listopadu statistiku. Letos ale odpadla.
158,Kluk odnesl ten sud. Julius vstoupil do podniku. Vendula si ukousla jen kousek. Na louku se posadili Pavla a Pavel.
159,Lidunka opustila podnik a odjela. Julius koupil novou soustavu. Vendula ustoupila od stolu. Kluk pojedl sousto na louku.
160,Tenistka nepostoupila. Divadlo uvedlo novou povedenou jednoaktovku. Velitel Pavelka vstoupil do pokoje. Julius studoval novou soustavu.
161,Julius odjel do Lounek a koupil soudek. Vendula se posadila v lese. Opustili podnik v lednu. Pavel ustoupil od stolu.
162,Lidunka a Pavla odjeli na louku. Julius koupil kovovou stojku v podniku. Vendula pojedla sousto. Kluk ustoupil od stolu.
163,Loni tu velkou louku odvodnili a letos je tu kus pole. Na lodi je soudek s pitnou vodou. Podnik snad koupil deset tun koksu. Tu vsuvku neopisujte.
164,Julius a Vendula se posadili na louku u lesa. Pavel opustil Lounsko. Lidunka si koupila novou sukni. Kluk ustoupil od okna.
165,Podnik v lednu koupil kovovou stojku. Vendula a Julius studovali novou soustavu. Pavla si ukousla jen kousek sousto.
166,Statik odvodil pevnost sloupu. Ten postup neuspokojuje. Ustupovali jen kousek po kousku. Do pokoje pojednou vstoupila spojovatelka Vendula.
167,Pavla a Julius vstoupili do podniku v Lounsku. Vendula koupila taktovku. Lidunka opustila ten podnik a ustoupila k lesu.
168,Kluk se posadil na louku u lesa. Vendula si odkoupila ten soudek. Julius ustoupil od pokoje. Pavla koupila kovovou soustavu.
169,Tank tu propadlinu projel. Podepisuje se jako Julius. Vedl vojsko osadou Sloup. Velitel podepsal novou soustavu. Do spolku nikdo nevstupoval.
170,Julius si koupil soudek a odjel na louku. Vendula opustila podnik v Lounsku. Pavla se posadila u potoku. Kluk ustoupil.
171,Vendula pojedla sousto a opustila podnik. Julius koupil novou kovovou stojku. Pavel a Lidunka odjeli do Lounek. Kluk ustoupil.
172,Dnes Jaroslav ani to prkno neprovrtal. Radka odjela v srpnu s Petrou na karneval. Nepravidelnosti je nutno respektovat. Karel kupoval propisku.
173,Karel a Radka odjeli na karneval. Jaroslav kupoval propisku v podniku. Ivan prodal ten prospekt. Petra odjela v srpnu na poradu.
174,Jaroslav provrtal prkno a odjel. Karel a Radka kupovali prospekt na karneval. Ivan je na porade. Petra se posadila na louku.
175,Doposud jsou v kontaktu. Protestoval proti nespravedlnosti. Prodal prospekt. Kupoval deset vstupenek na ples. Ivan odjel na poradu.
176,Karel protestoval a Radka odjela na poradu. Jaroslav prodal prospekt v podniku. Ivan kupoval vstupenku na ples. Petra je v kontaktu.
177,Rok od roku Ivan odjel na poradu. Jaroslav a Karel protestovali. Radka prodala ten prospekt. Petra kupovala vstupenku na karneval.
178,Spor urovnala teprve porota. Ivanka dostala kopretinu. Nastalo jaro. Studenti VI. A v lese sportovali. Tuto listinu podepsal Karel IV.
179,Jaroslav se vrtal do prkna. Petra a Radka odjeli na karneval. Karel protestoval na porade. Ivan prodal propisku a prospekt.
180,Petra a Radka odjeli v srpnu na karneval. Karel kupoval vstupenku na ples. Jaroslav prodal ten prospekt. Ivan protestoval na porade.
181,Prostudoval pokrokovou literaturu. Tu kopii podepsal i soused Srpek. Lektorka povolila jen jeden den volna. I tento spor trval asi rok.
182,Karel prostudoval ten prospekt. Jaroslav prodal propisku. Radka a Petra protestovali na porade. Ivan kupoval vstupenku rok od roku.
183,Lektorka povolila den volna. Karel a Ivan odjeli na poradu. Jaroslav protestoval proti sporu. Radka kupovala prospekt v podniku.
184,Podnik loni neprosperoval. Jirka a Vojta Srpovi narukovali na vojnu. Kreslil pastelkou kopretinu. Korespondentka psala konspekt proslovu.
185,Karel rok od roku protestoval. Jaroslav kupoval propisku a prospekt. Radka odjela na poradu. Ivan a Petra prodali vstupenku na ples.
186,Jaroslav prostudoval literaturu a protestoval. Karel a Radka prodali ten prospekt. Ivan odjel na poradu v srpnu. Petra je v kontaktu.
187,Pan Kroupa nastoupil v srpnu do Stavoservisu. To jste provedli opravdu dokonale. Doprovodila Karla na Prosek. Odprodal dosud dva kladkostroje.
