lesson,content
1,a da as sad dal jak lak sak lad jas kal a da as sad dal jak lak sak lad jas kal a da as sad dal jak lak sak lad jas
2,sada klas kasa lasa skla klak dala kala saka slad sada klas kasa lasa skla klak dala kala saka slad sada klas kasa lasa
3,salda sklad kajak kladka dlask sajka sakal lajka jasla skalka salda sklad kajak kladka dlask sajka sakal lajka jasla
4,skalka kladla dlask jak sad klas sada salda kajak kladka sajka lajka as da lak sak jasla sakal slad sklad lasa saka kala
5,sada dal skla klas kasa salda sklad kajak klak da saka lasa sad skla klas kasa salda sklad jak klak dala sak lasa skalka
6,jak dal sad lak sak lad jas sada klas kasa skla salda sklad kajak kladka kladla sajka dlask jasla sakal skalka lajka slad
7,kladka skalka kladla sajka dlask jasla sakal lajka kajak salda sklad kladka skalka kladla sajka dlask jasla sakal lajka
8,lak jak jas sada salda kajak skalka kladla klak da as sad klas kasa kladka sajka dlask jasla sklad saka lasa slad
9,sajka sakal lajka skalka kladka kladla jasla dlask sklad salda kajak klas skla kasa sada klak dala kala lasa saka slad lad
10,salda kajak kladka sklad kasa lad lasa a sak kladla sajka slad dlask skla as dal sad dala kladla skla klas jak kasa salda sklad
11,a da as jak dal sad lak sak lad jas sada klas kasa dala skla salda sklad kajak kladka skalka kladla sajka dlask jasla sakal
12,jak sad dal lak sak lad kal jas as da jak sad dal lak sak lad kal jas jak sad dal lak sak lad kal jas jak sad dal lak sak lad
13,sada klas kasa skla klak saka lasa slad sada klas kasa skla klak saka lasa slad sada klas kasa skla klak saka lasa slad
14,skalka kladka kladla sajka kajak salda sklad dlask jasla sakal lajka skalka kladka kladla sajka kajak salda sklad dlask
15,kajak lak saka lasa kal kladka dala kladla skla klas jak kasa salda a sklad kajak lak sad sak lasa kladka kala klas
16,do od se ale jed led les sol kos oko eso kel dej dok do od se ale jed led les sol kos oko eso kel dej dok do od se ale jed
17,deka osel olej kolo kola lesa soda seje leje dole jela keks deka osel olej kolo kola lesa soda seje leje dole jela keks
18,deska jedla jedlo jedle sekal lokaj sedlo kolej jesle selka klesl odjel kodak kokos saldo dojde dodej desek oseje
19,klesla dosedla doleje osedlal dojela doskok koleje lesklo odjede odlesk sekala dosedala osedlala klesala sokolka
20,soda dlask okolo salda kola lokaj dok slad jedle sekala doleje keks seje klesla ledek sedlo jesle selka dodej eso dosedala
21,sad jak klas sklad ale do od les jed led kolo osel olej deska jedla sekal kolej deka soda leje dole seje saldo
22,osel jel do lesa a dal olej lokaj sekal deska odjel od kola keks jedla doleje dojde seje deka kolo soda kolej jesle selka
23,dosedla klesla odjede osedlal dojela sekala doleje koleje lesklo odlesk doskok sokolka saldo desek kokos kodak dodej oseje
24,ale jed do lesa osel jela deska kolej jedla kolo odjel sedlo dojde klesla osedlal doleje sekal lokaj sekala dosedla dojela
25,osedlala sjede esa ale deska kel kde jelo se deka osel olej jed ale deska odjel leje klesl kde jel deka osel olej
26,kolo olej soda deska jedlo sekal osel kolej klesla dosedla ale les jed led oko dole leje deka seje kokos saldo lokaj
27,dojela odjede doleje klesala osedlala dosedala sokolka sekala koleje odlesk lesklo doskok dojde odjel dodej desek jedla oseje
28,do lesa dal olej osel jela deska sekal kolej lokaj sedlo jesle selka odjel soda kolo dole keks kola leje seje deka jed led
29,osedlal sekala dosedla dojela doleje koleje odjede klesla lesklo odlesk saldo sokolka kodak kokos doskok klesala dosedala
30,dojde klesla sekal jedlo dosedla lesklo koleje deska dole kos doleje osedlal deka klesla osel dej sedla jedle dojedla
31,Lada Ela Eda Lea Sokol Olda Klos Jokl Lada Ela Eda Lea Sokol Olda Klos Jokl Lada Ela Eda Lea Sokol Olda Klos Jokl
32,Lada jela do lesa Sokol odjel od koleje Ela sekal deska Olda a Jokl dal olej Klos sedla Eda dojela Lea osel Lada kolo
33,OKD Lajka Eska Kodak OAJ KS Sojka Sakal Jaslo OKD Lajka Eska Kodak OAJ KS Sojka Sakal Jaslo OKD Lajka Eska Kodak OAJ
34,Lajka a Sojka jela do Jasla Eska OKD dal Kodak Sokol odjede od Olda KS Jokl sekal deska Lada OAJ kolo Ela Sakal kolej
35,Kladka jedla osa sad saldo sekal kolej OAJ Lokaj Eska doskok Lada Lajka doleje jesle Kodak jas Jokl odlesk dojela OKD
36,Sokol a Lada jela do lesa Jokl odjel od koleje Olda sekal Ela deska Klos dal olej Eda osel Lea soda Sojka kolo Eska deka
37,Lajka Eska Kodak OAJ OKD KS Jaslo Sakal Sojka Lada Sokol Ela Eda Lea Olda Klos Jokl Lajka Eska Kodak OAJ OKD KS Jaslo
38,Eda odjede do Jasla Lada a Sokol jela Klos dal Kodak Jokl sekal Olda klesla Lea doleje Sojka OKD Eska kolej Ela osel OAJ
39,Sokol Lada Eska OKD Jaslo Klos Jokl Olda Lea Eda Lajka Sojka Sakal KS OAJ Kodak a do od se ale kolo osel deska kolej olej
40,Kajak Sokol Lajka Jokl Lada Eska Kos OKD Ela Sojka klesala do lesa a Sakal dodal do koleje olej
41,Lada odjede do Jasla a Sokol jela od koleje Jokl dal Eska olej Olda sekal Lea deska Eda klesla Sojka dosedla Klos osel
42,Eska OKD Kodak doleje Lajka Sakal dojela KS odjede Jaslo OAJ sekala Sokol Lada Ela Jokl Olda Klos Eda Lea kolej Sojka deska
43,Olda odjel od Sokol a Lada jela do lesa Jokl sekal Klos Eska dojela Lea klesla Eda dosedla Sojka doleje OKD Jaslo kolej
44,Lajka Kodak OAJ KS Sakal Jaslo OKD Eska Sojka Sokol Lada Ela Eda Lea Olda Klos Jokl kolo deska osel odjede koleje doleje
45,Saldo dodej eso desek Lajka oseje KS jedle koleda Jesle deska Olda kola dojde Klos soja od kolo Jaslo kokos
46,Lada jela do lesa. Sokol dal olej. Ela sekal deska. Olda odjel od koleje. Jokl a Klos kolo. Eda jela. Lea osel.
47,Lada a Sokol jela do lesa. Eska odjede od koleje. Jokl dal Kodak Olda. Sojka klesla. Eda sekal deska a Lea doleje olej.
48,Sokol odjede do Jasla a Lada jela od koleje. Klos sekal deska. Olda a Jokl dal olej. Eska klesla a dosedla. Eda osel dojela.
49,Lajka dojela do lesa a Sakal odjede. Lea sekala deska. Sojka a Sokol jela od koleje. Olda dal kolo Eda. Lada dosedla a klesla.
50,Sklad dodal do lesa kolo Eska. Sokolka Lea leje okolo kola olej. Eda Sokol ale odjede do Jasla. Dosedlala osla a jela do lesa.
