lesson,content
101,Nikita dnes odjel do kina. Ida nejedla ani sele. Ilona a Daniel se lekli jelena. Jitka to ale odnesla. Olinka stonala.
102,Lidi odjeli na les. Diletanti to nedali. Statistik nejednal. Kotlina je daleko. Solidnost je to. Diana dostala letadlo od Tonda.
103,Setnina dnes nejedla. Okolo lesa je klid. Jinotaje. Diletanti. Nikita. Solidnost. Kotlina.
104,Ida a Ilona odjeli do lesa. Daniel to ale dnes nedodal. Jitka a Olinka sedle jeli na koni. Ten lid je na stole. Nikita stonal.
105,Denisa nesla lilek do kina. Tonda Sokol to ale nedojednal. Ilona dostala od Nikita slona. Diana ani nedojela. Statistik to odnesl.
106,Tonda Klika do Kladna nejede. Dodal ten lis. Ida dostala letadlo. Ti lidi odjeli do kina. Klisna Linda se lekla selete.
107,Daniel a Jitka odjeli do Kladna. Ilona je dnes na kole. Nikita nedojednal ani seno. Ten diletant to nedal. Ida ale stonala.
108,Denisa dnes dostala od Daniela slona. Klisna loni nestonala. Solidnost je ale jistota. Tonda si sedl do sedla. Odjeli na les.
109,Nestalo se. Ilona dnes sklidila lilek. Klisna loni nestonala. Teta Olina se naklonila do okna. Ani Daniel a Jenda se nesnesli.
110,Olinka dnes neodnesla to seno. Daniel a Nikita odjeli do Kladna na kole. Jitka si sedla ke stole. Denisa jedla jelen.
111,Diana dostala od Tonda letadlo. Statistik nedojednal ani data do ledna. Ilona a Ida odjeli na les. Ten diletant to ale nedal.
112,Tonda a Denisa dnes ale do Kladna neodjeli. Alena dnes ani nejedla. Olinka skolila jelena. Ida asi dostala od Daniela slona.
113,Nikita a Jitka to ale dnes do ledna nedodali. Ten lid se lekl jelena na lese. Statistik to dojednal. Ilona nesla sele do stodole.
114,Daniel a Denisa dnes odjeli do kina. Ida to ale nedostala. Olinka ani Tonda to do ledna nedali. Solidnost je to. Jitka stonala.
115,Dnes neodjeli Ivana ani David na venkov. Ta statistika na leden je na stole. Vojta a Ivanka odjeli do Vojtanova.
116,Ivan vedl kolo na ven. Ivana a David odjeli na venkov. Vojta dnes nevedl ani kolo. Vanda dostala od Ivana divan. Vlasta stonala.
117,Vendelin odjel do lesa. David a Ivanka to ale nedodali. Vojta vedl kolo na venkov. Ivana je na divane. Vlasta to ale nevedla.
118,Na ni to ale nesvalovali. Jikov jako dodavatel ale dodnes nedodal ani ventilek. Ta statistika loni nedojednala ani data.
119,Ivana a Vlasta odjeli na venkov. David to dnes nevedl. Vanda ale dodala ventilek do Kladna. Vojta sledoval divokost sov v lese.
120,Ivan a Ivanka se dnes naklonili nad divan. David to ale nedovedl. Vojta vedl Vlasta na venkov. Vendelin odjel do Vojtanova.
121,Ani na leden to Diana nedodala. Teta Jitka stonala. Odjeli do kina. Setnina dnes nejedla. Okolo lesa je klid.
122,Vlasta a Vanda odjeli na venkov. David to dnes dovedl. Ivan sledoval sovino letadlo. Vojta ale na divane stonal. Ivana to nedodala.
123,Vendelin vedl Ivanko do Kladna. Vlasta dnes dostala od Vojta divan. Ivana to ale nedojednala. David odjel na venkov. Sovino kino.
124,To Ivana asi nesvede. Tento kolektiv je Vojvodina Novi Sad. Stavitel to jen tak konstatoval.
125,David a Ivanka dnes odjeli na venkov. Vojta to ale nedovedl. Vlasta je ve stodole. Ivan sledoval jelena. Vendelin vedl Ivana.
126,Vlasta a Vendelin to dnes nedodali do Kladna. David odjel na venkov. Ivana dostala od Vojta divan. Vanda to ale nevedla. Sova loni.
127,Vlasta to odklidila vedle na divan. I Svatava odjela. Sova klovala do kosti. Aktivistka Ivanka dnes na Visle neveslovala.
128,David vedl Ivanka na venkov do stodole. Vojta a Ivan to ale nedodali. Vendelin odjel do Kladna. Vanda dnes ani nejedla. Sova.
129,Vlasta a Ivana odjeli na venkov. Vojta to ale dnes nevedl. David je ve stodole. Vendelin a Ivan odjeli do Kladna. Vanda dostala divan.
130,Sodovka skladoval ve stodole jen kajak a lana. Dnes jedete lovit i jelena. Statistik Venda sledoval jen svislost.
131,Ivan a Vlasta to dnes nedodali. Vojta odjel na venkov. Vanda ale vedla Ivanka do kina. David a Vendelin odjeli do Kladna. Sova letela.
132,David dnes odjel na venkov. Ivana to ale nevedla. Vojta a Vlasta je ve stodole. Vendelin sledoval jelena. Vanda dostala od Ivana slona.
133,Sledovali tisk. Aktivista Sovadina se dnes nedostavil. Ivanka je asi v letadle. Dnes Vanda na venkov neodjela.
134,Vlasta a David dnes odjeli na venkov. Ivan a Vendelin to ale nedovedli. Ivana stojala na divane. Vojta je ve stodole. Vanda je v lese.
135,Ivan vedl Vojta na venkov. Vlasta to dnes ale nedodala. David odjel do Kladna. Vendelin a Ivanka dostali letadlo. Vanda ale stonala.
136,Apolena svoje povinnosti splnila. Pan Leopold Pavelka dnes odjede do Polska. Pavla se pojistila. Poslal dopis do Japonska.
137,Pan Pavel odjel na potok. Pavla to ale nedopsala. Pilot se posadil do letadla. Popelka dostala dopis od Pavla. Leopold je na plese.
138,Pavel a Pavla odjeli na ples. Pilot to ale nevedl. Pan Pavelka poslal dopis do Kladna. Popelka dostala letadlo. Apolena je dole.
139,Ten popis se Janovi asi nepovedl. Pavla povolalo vojsko. Popelka se dostavila na ples. Nedovolil si ani slovo. Po stole teklo lepidlo.
140,Pavla si psala dopis na stole. Pan Pavel to ale nedovedl. Pilot odjel do Polska. Popelka a Leopold odjeli na ples. Apolena to dopsala.
141,Pan Pavelka dnes poslal dopis do Japonska. Pavla to ale nedopsala. Pilot je v letadle. Popelka odjela na ples. Pavel dostal slona.
142,Pokladna na to ale jen doplatila. Vlastovi kapal vodovod. Pavel nesl topivo. Pilot se posadil do letadla. Psala asi dopis.
143,Popelka a Pavel odjeli na ples do Polska. Pan Leopold to ale nedovedl. Pavla dostala dopis od pilota. Apolena dnes odjela na potok.
144,Pavla si na stole psala dopis. Pan Pavelka to ale nedopsal. Pilot odjel do Kladna. Popelka je na plese. Pavel dostal letadlo.
145,Pan Alois Kvapil si na potok postavil Peltonovo kolo od Pavla Podeka. Dopisovatelka APA odjela do Opole. Sokol spadl do potoka.
146,Pavel a Pavla dnes odjeli na potok. Pan Pavelka to ale nedopsal. Pilot je v letadle. Popelka dostala dopis. Leopold odjel na ples.
147,Apolena a Popelka to ale dnes nedopsali. Pan Pavel odjel do Polska. Pilot vedl letadlo. Pavla dostala slona. Leopold je na potoke.
148,Svatopluk ustupoval k lesu. Kvapilova klopa se jen leskla. V dopise si psali o odklad. Teplota nepoklesla. Napsali si o pletivo na plot.
149,Pan Pavelka a Pavel to ale dnes do ledna nedopsali. Pilot odjel do Polska. Popelka je na plese. Pavla dostala letadlo od Leopolda.
150,Apolena dnes odjela na potok. Pavel a Pavla to ale nedodali. Pilot vedl letadlo do Polska. Popelka dostala dopis. Leopold je na plese.
